"subid","age_group","age","sex","english","site","trial_type","trial_num","item_num","correct","rt","expt"
"150109-03-sc",2,2.22,"M",6,"cdm","inference",4,"3vs1",1,2670,"ipad"
"150109-03-sc",2,2.22,"M",6,"cdm","control_double",5,"3vs1",1,3478,"ipad"
"150109-03-sc",2,2.22,"M",6,"cdm","inference",7,"3vs1",1,513,"ipad"
"150109-03-sc",2,2.22,"M",6,"cdm","control_single",8,"1vs1",2,502,"ipad"
"150109-03-sc",2,2.22,"M",6,"cdm","control_single",9,"2vs2",2,7177,"ipad"
"150109-03-sc",2,2.22,"M",6,"cdm","control_double",10,"2vs1",2,3899,"ipad"
"150109-03-sc",2,2.22,"M",6,"cdm","control_double",11,"3vs1",2,3167,"ipad"
"150109-03-sc",2,2.22,"M",6,"cdm","control_single",12,"1vs1",1,1319,"ipad"
"150109-03-sc",2,2.22,"M",6,"cdm","control_single",13,"2vs2",1,486,"ipad"
"150109-03-sc",2,2.22,"M",6,"cdm","control_single",15,"1vs1",2,3859,"ipad"
"150109-03-sc",2,2.22,"M",6,"cdm","control_double",16,"2vs1",1,5679,"ipad"
"150109-03-sc",2,2.22,"M",6,"cdm","inference",17,"2vs1",1,2713,"ipad"
"150109-03-sc",2,2.22,"M",6,"cdm","control_single",18,"2vs2",2,1937,"ipad"
"150109-04",2,2.43,"F",6,"cdm","control_single",3,"2vs2",1,4264,"ipad"
"150109-04",2,2.43,"F",6,"cdm","inference",4,"3vs1",1,2419,"ipad"
"150109-04",2,2.43,"F",6,"cdm","control_double",5,"3vs1",2,3400,"ipad"
"150109-04",2,2.43,"F",6,"cdm","control_single",6,"1vs1",2,3941,"ipad"
"150109-04",2,2.43,"F",6,"cdm","inference",7,"3vs1",2,2200,"ipad"
"150109-04",2,2.43,"F",6,"cdm","control_single",8,"1vs1",2,5230,"ipad"
"150109-04",2,2.43,"F",6,"cdm","control_single",9,"2vs2",2,4307,"ipad"
"150109-04",2,2.43,"F",6,"cdm","control_double",10,"2vs1",2,2282,"ipad"
"150109-04",2,2.43,"F",6,"cdm","control_double",11,"3vs1",2,2571,"ipad"
"150109-04",2,2.43,"F",6,"cdm","control_single",12,"1vs1",1,4045,"ipad"
"150109-04",2,2.43,"F",6,"cdm","control_single",13,"2vs2",2,2668,"ipad"
"150109-04",2,2.43,"F",6,"cdm","inference",14,"2vs1",1,2619,"ipad"
"150109-04",2,2.43,"F",6,"cdm","control_single",15,"1vs1",2,2241,"ipad"
"150109-04",2,2.43,"F",6,"cdm","control_double",16,"2vs1",2,4718,"ipad"
"150109-04",2,2.43,"F",6,"cdm","inference",17,"2vs1",1,2206,"ipad"
"150109-04",2,2.43,"F",6,"cdm","control_single",18,"2vs2",2,2947,"ipad"
"150109-06",2,2.12,"F",6,"cdm","control_single",3,"2vs2",1,14770,"ipad"
"150109-06",2,2.12,"F",6,"cdm","inference",4,"3vs1",1,12571,"ipad"
"150109-06",2,2.12,"F",6,"cdm","control_single",5,"3vs1",2,11540,"ipad"
"150109-06",2,2.12,"F",6,"cdm","inference",7,"3vs1",2,3108,"ipad"
"150109-06",2,2.12,"F",6,"cdm","control_single",8,"1vs1",1,1061,"ipad"
"150109-06",2,2.12,"F",6,"cdm","control_single",9,"2vs2",1,7530,"ipad"
"150109-06",2,2.12,"F",6,"cdm","control_double",10,"2vs1",2,467,"ipad"
"150109-06",2,2.12,"F",6,"cdm","control_double",11,"3vs1",1,10744,"ipad"
"150109-06",2,2.12,"F",6,"cdm","control_single",15,"1vs1",1,506,"ipad"
"150109-06",2,2.12,"F",6,"cdm","inference",17,"2vs1",1,659,"ipad"
"150109-07",3,3.1,"F",6,"cdm","control_single",3,"2vs2",2,2167,"ipad"
"150109-07",3,3.1,"F",6,"cdm","inference",4,"2vs1",2,2868,"ipad"
"150109-07",3,3.1,"F",6,"cdm","control_double",5,"3vs1",1,7664,"ipad"
"150109-07",3,3.1,"F",6,"cdm","control_single",6,"2vs2",2,5285,"ipad"
"150109-07",3,3.1,"F",6,"cdm","inference",7,"2vs1",1,4333,"ipad"
"150109-07",3,3.1,"F",6,"cdm","control_single",8,"2vs2",2,2722,"ipad"
"150109-07",3,3.1,"F",6,"cdm","control_single",9,"2vs2",1,4892,"ipad"
"150109-07",3,3.1,"F",6,"cdm","control_double",10,"2vs1",2,3064,"ipad"
"150109-07",3,3.1,"F",6,"cdm","control_double",11,"3vs1",1,2943,"ipad"
"150109-07",3,3.1,"F",6,"cdm","control_single",12,"1vs1",1,2675,"ipad"
"150109-07",3,3.1,"F",6,"cdm","control_single",13,"1vs1",2,2724,"ipad"
"150109-07",3,3.1,"F",6,"cdm","inference",14,"3vs1",1,3131,"ipad"
"150109-07",3,3.1,"F",6,"cdm","control_single",15,"1vs1",2,2094,"ipad"
