subid,keep_drop,expt,age_group,English
150518-01-sc,keep,ipad,2,6
150520-01-sc,keep,ipad,3,6
150520-02-sc,keep,ipad,3,6
150520-03-sc,keep,ipad,3,6
150120-01-sc,keep,ipad,4,6
150120-02-sc,keep,ipad,3,6
150120-03-sc,keep,ipad,4,6
150120-04-sc,keep,ipad,4,6
150120-05-sc,keep,ipad,3,6
150120-06-sc,keep,ipad,4,6
150122-01-sc,keep,ipad,4,6
150122-02-sc,keep,ipad,4,6
150122-03-sc,keep,ipad,3,6
150122-04-sc,keep,ipad,4,6
150122-05-sc,keep,ipad,4,6
150129-01-sc,keep,ipad,4,6
150129-02-sc,keep,ipad,4,6
