subid,age_group,trial_type,item_num,correct,rt
150109-06,NA,control_double,3vs1,1,11540
150109-06,NA,control_single,1vs1,1,374
150109-06,NA,inference,3vs1,1,3108
150109-06,NA,control_single,1vs1,0,1061
150109-06,NA,control_single,2vs2,0,7530
150109-06,NA,control_double,2vs1,1,467
150109-06,NA,control_double,3vs1,0,10744
150109-06,NA,control_single,2vs2,1,387
150109-06,NA,control_single,1vs1,0,506
150109-06,NA,inference,2vs1,0,659
150109-07,NA,practice,NA,1,2779
150109-07,NA,practice,NA,0,7168
150109-07,NA,control_single,2vs2,1,2167
150109-07,NA,inference,2vs1,1,2868
150109-07,NA,control_double,3vs1,0,7664
150109-07,NA,control_single,2vs2,1,5285
150109-07,NA,inference,2vs1,0,4333
150109-07,NA,control_single,2vs2,1,2722
150109-07,NA,control_single,2vs2,0,4892
150109-07,NA,control_double,2vs1,1,3064
150109-07,NA,control_double,3vs1,0,2943
150109-07,NA,control_single,1vs1,0,2675
150109-07,NA,control_single,1vs1,1,2724
150109-07,NA,inference,3vs1,0,3131
150109-07,NA,control_single,1vs1,1,2094
150109-07,NA,control_double,2vs1,1,390
150109-07,NA,inference,3vs1,1,3344
150109-07,NA,control_single,1vs1,1,3497
150109-08,NA,practice,NA,1,2438
150109-08,NA,practice,NA,1,1618
150109-08,NA,control_single,2vs2,1,2928
150109-08,NA,inference,2vs1,1,2619
150109-08,NA,control_double,3vs1,1,1278
150109-08,NA,control_single,2vs2,1,1074
150109-08,NA,inference,2vs1,1,1850
150109-08,NA,control_single,2vs2,1,1281
150109-08,NA,control_single,2vs2,1,1353
150109-08,NA,control_double,2vs1,1,1591
150109-08,NA,control_double,3vs1,1,1895
150109-08,NA,control_single,1vs1,1,1425
150109-08,NA,control_single,1vs1,1,1158
150109-08,NA,inference,3vs1,1,1644
150109-08,NA,control_single,1vs1,1,1594
150109-08,NA,control_double,2vs1,1,1502
150109-08,NA,inference,3vs1,1,1928
150109-08,NA,control_single,1vs1,1,1573
150115-01-sc,4,practice,NA,1,1635
150115-01-sc,4,practice,NA,1,1446
150115-01-sc,4,control_single,2vs2,1,1624
150115-01-sc,4,inference,2vs1,1,2199
150115-01-sc,4,control_double,3vs1,1,1975
150115-01-sc,4,control_single,2vs2,1,1573
150115-01-sc,4,inference,2vs1,1,1855
150115-01-sc,4,control_single,2vs2,1,1187
150115-01-sc,4,control_single,2vs2,1,1900
150115-01-sc,4,control_double,2vs1,1,1545
150115-01-sc,4,control_double,3vs1,1,2266
150115-01-sc,4,control_single,1vs1,1,1481
150115-01-sc,4,control_single,1vs1,1,2065
150115-01-sc,4,inference,3vs1,1,1343
150115-01-sc,4,control_single,1vs1,1,1319
150115-01-sc,4,control_double,2vs1,1,1107
150115-01-sc,4,inference,3vs1,1,1513
150115-01-sc,4,control_single,1vs1,1,2144
150115-02-sc,3,practice,NA,1,6726
150115-02-sc,3,practice,NA,1,8991
150115-02-sc,3,control_single,2vs2,1,3393
150115-02-sc,3,inference,3vs1,1,11699
150115-02-sc,3,control_double,3vs1,1,3135
150115-02-sc,3,control_single,1vs1,1,2178
150115-02-sc,3,inference,3vs1,0,8961
150115-02-sc,3,control_single,1vs1,1,1771
150115-02-sc,3,control_single,2vs2,1,2663
150115-02-sc,3,control_double,2vs1,1,2975
150115-02-sc,3,control_double,3vs1,1,2144
150115-02-sc,3,control_single,1vs1,1,3067
150115-02-sc,3,control_single,2vs2,1,2127
150115-02-sc,3,inference,2vs1,1,4926
150115-02-sc,3,control_single,1vs1,1,9185
150115-02-sc,3,control_double,2vs1,1,2162
150115-02-sc,3,inference,2vs1,1,1326
150115-02-sc,3,control_single,2vs2,1,5135
150115-03-sc,5,practice,NA,1,5666
150115-03-sc,5,practice,NA,1,3745
150115-03-sc,5,control_single,2vs2,1,2430
150115-03-sc,5,inference,2vs1,1,3677
150115-03-sc,5,control_double,3vs1,1,1489
150115-03-sc,5,control_single,2vs2,1,1434
150115-03-sc,5,inference,2vs1,1,3401
150115-03-sc,5,control_single,2vs2,1,1940
150115-03-sc,5,control_single,2vs2,1,1312
150115-03-sc,5,control_double,2vs1,1,2084
150115-03-sc,5,control_double,3vs1,1,2352
150115-03-sc,5,control_single,1vs1,1,1611
150115-03-sc,5,control_single,1vs1,1,1891
150115-03-sc,5,inference,3vs1,1,2447
150115-03-sc,5,control_single,1vs1,1,1883
150115-03-sc,5,control_double,2vs1,1,1703
150115-03-sc,5,inference,3vs1,1,2887
150115-03-sc,5,control_single,1vs1,1,1479
150115-04-sc,5,practice,NA,1,1902
150115-04-sc,5,practice,NA,1,1427
150115-04-sc,5,control_single,2vs2,1,1783
150115-04-sc,5,inference,2vs1,1,2061
150115-04-sc,5,control_double,3vs1,1,1981
150115-04-sc,5,control_single,2vs2,1,1742
150115-04-sc,5,inference,2vs1,1,4076
150115-04-sc,5,control_single,2vs2,1,2198
150115-04-sc,5,control_single,2vs2,1,4305
150115-04-sc,5,control_double,2vs1,1,3492
150115-04-sc,5,control_double,3vs1,1,2210
150115-04-sc,5,control_single,1vs1,1,2316
150115-04-sc,5,control_single,1vs1,1,3535
150115-04-sc,5,inference,3vs1,1,3281
150115-04-sc,5,control_single,1vs1,1,1705
150115-04-sc,5,control_double,2vs1,1,2287
150115-04-sc,5,inference,3vs1,1,1879
150115-04-sc,5,control_single,1vs1,1,1391
150115-05-sc,5,practice,NA,1,1871
150115-05-sc,5,practice,NA,1,1765
150115-05-sc,5,control_single,2vs2,1,1937
150115-05-sc,5,inference,3vs1,1,1768
150115-05-sc,5,control_double,3vs1,1,3864
150115-05-sc,5,control_single,1vs1,0,2115
150115-05-sc,5,inference,3vs1,1,1718
150115-05-sc,5,control_single,1vs1,1,1777
150115-05-sc,5,control_single,2vs2,1,1539
150115-05-sc,5,control_double,2vs1,1,1316
150115-05-sc,5,control_double,3vs1,1,1547
150115-05-sc,5,control_single,1vs1,1,1462
150115-05-sc,5,control_single,2vs2,1,3259
150115-05-sc,5,control_single,1vs1,1,1776
150115-05-sc,5,control_double,2vs1,0,3550
150115-05-sc,5,inference,2vs1,1,2255
150115-05-sc,5,control_single,2vs2,1,1734
150115-06-sc,4,practice,NA,0,5138
150115-06-sc,4,practice,NA,1,1397
150115-06-sc,4,control_single,2vs2,0,1576
150115-06-sc,4,inference,2vs1,0,526
150115-06-sc,4,control_double,3vs1,1,1724
150115-06-sc,4,control_single,2vs2,0,1304
150115-06-sc,4,inference,2vs1,0,2679
150115-06-sc,4,control_single,2vs2,0,6113
150115-06-sc,4,control_single,2vs2,1,2192
150115-06-sc,4,control_double,2vs1,0,2647
150115-06-sc,4,control_double,3vs1,0,1717
150115-06-sc,4,control_single,1vs1,1,5290
150115-06-sc,4,control_single,1vs1,1,3340
150115-06-sc,4,inference,3vs1,1,3248
150115-06-sc,4,control_single,1vs1,1,2460
150115-06-sc,4,control_double,2vs1,0,1344
150115-06-sc,4,inference,3vs1,1,7076
150115-06-sc,4,control_single,1vs1,0,347
150115-07-sc,5,practice,NA,1,2635
150115-07-sc,5,practice,NA,1,1039
150115-07-sc,5,control_single,2vs2,1,1498
150115-07-sc,5,inference,3vs1,1,1758
150115-07-sc,5,control_double,3vs1,1,3633
150115-07-sc,5,control_single,1vs1,1,1476
150115-07-sc,5,inference,3vs1,1,2041
150115-07-sc,5,control_single,1vs1,1,1581
150115-07-sc,5,control_single,2vs2,1,2333
150115-07-sc,5,control_double,2vs1,1,1728
150115-07-sc,5,control_double,3vs1,1,1636
150115-07-sc,5,control_single,1vs1,1,1187
150115-07-sc,5,control_single,2vs2,1,1362
150115-07-sc,5,inference,2vs1,1,2346
150115-07-sc,5,control_single,1vs1,1,3192
150115-07-sc,5,control_double,2vs1,1,1502
150115-07-sc,5,inference,2vs1,1,1532
150115-07-sc,5,control_single,2vs2,1,2272
150116-01-sc,5,practice,NA,1,5923
150116-01-sc,5,practice,NA,1,2419
150116-01-sc,5,control_single,2vs2,1,3083
150116-01-sc,5,inference,3vs1,1,2397
150116-01-sc,5,control_double,3vs1,1,3813
150116-01-sc,5,control_single,1vs1,1,2222
150116-01-sc,5,inference,3vs1,0,3886
150116-01-sc,5,control_single,1vs1,1,3030
150116-01-sc,5,control_single,2vs2,1,2067
150116-01-sc,5,control_double,2vs1,1,1640
150116-01-sc,5,control_double,3vs1,1,2016
150116-01-sc,5,control_single,1vs1,1,3186
150116-01-sc,5,control_single,2vs2,1,1704
150116-01-sc,5,inference,2vs1,1,1307
150116-01-sc,5,control_single,1vs1,1,1138
150116-01-sc,5,control_double,2vs1,1,1308
150116-01-sc,5,inference,2vs1,0,4223
150116-02-sc,3,practice,NA,1,8087
150116-02-sc,3,practice,NA,1,3423
150116-02-sc,3,control_single,2vs2,1,2393
150116-02-sc,3,inference,2vs1,1,3504
