"subid","list","trial_num","word","pic1","pic2","trial_type","pic1type","pic2type","side_clicked","pic_clicked","correct","datetesting","time","rt","item_num","V17","keep_drop","expt","age_group","English"
"141209-02-sc",2,8,"elmo_cat2","elmo_dog2","elmo_cat2","control_single","distractor","target","R","elmo_cat2","Y","12/9/14","8:57",2660,"2vs2",NA,"keep","ipad","4",6
"141209-02-sc",2,9,"grover_car2","grover_car2","grover_bicycle2","control_single","target","distractor","L","grover_car2","Y","12/9/14","8:57",1786,"2vs2",NA,"keep","ipad","4",6
"141209-02-sc",2,10,"grover_carrot2","grover_banana2","grover_carrot2","control_double","distractor","target","R","grover_carrot2","Y","12/9/14","8:57",1584,"2vs1",NA,"keep","ipad","4",6
"141209-02-sc",2,11,"ernie_apple2","ernie_apple2","ernie_orange2","control_double","target","distractor","L","ernie_apple2","Y","12/9/14","8:57",2287,"3vs1",NA,"keep","ipad","4",6
"141209-02-sc",2,12,"bert_banana2","bert_banana2","bert_carrot2","control_single","target","distractor","L","bert_banana2","Y","12/9/14","8:57",1633,"1vs1",NA,"keep","ipad","4",6
"141209-02-sc",2,13,"bert_truck2","bert_ball2","bert_truck2","control_single","distractor","target","L","bert_ball2","N","12/9/14","8:57",1627,"1vs1",NA,"keep","ipad","4",6
"141209-02-sc",2,14,"grover_flower2","grover_teddybear2","grover_flower2","inference","distractor","target","R","grover_flower2","Y","12/9/14","8:57",1543,"3vs1",NA,"keep","ipad","4",6
"141209-02-sc",2,15,"ernie_flower2","ernie_flower2","ernie_teddybear2","control_single","target","distractor","L","ernie_flower2","Y","12/9/14","8:57",1863,"1vs1",NA,"keep","ipad","4",6
"141209-02-sc",2,16,"ernie_cat2","ernie_cat2","ernie_dog2","control_double","target","distractor","L","ernie_cat2","Y","12/9/14","8:57",1941,"2vs1",NA,"keep","ipad","4",6
"141209-02-sc",2,17,"ernie_bicycle2","ernie_car2","ernie_bicycle2","inference","distractor","target","R","ernie_bicycle2","Y","12/9/14","8:57",1469,"3vs1",NA,"keep","ipad","4",6
"141209-02-sc",2,18,"elmo_apple2","elmo_apple2","elmo_orange2","control_single","target","distractor","L","elmo_apple2","Y","12/9/14","8:57",1170,"1vs1",NA,"keep","ipad","4",6
"141209-03-sc",2,1,"practice1_lion","practice1_cow","practice1_lion","practice","distractor","target","L","practice1_cow","N","12/9/14","9:12",2112,NA,NA,"keep","ipad","3",6
"141209-03-sc",2,2,"practice2_rabbit","practice2_rabbit","practice2_monkey","practice","target","distractor","L","practice2_rabbit","Y","12/9/14","9:12",1668,NA,NA,"keep","ipad","3",6
"141209-03-sc",2,3,"grover_orange2","grover_apple2","grover_orange2","control_single","distractor","target","R","grover_orange2","Y","12/9/14","9:12",2272,"2vs2",NA,"keep","ipad","3",6
"141209-03-sc",2,4,"bert_dog2","bert_cat2","bert_dog2","inference","distractor","target","R","bert_dog2","Y","12/9/14","9:12",2032,"2vs1",NA,"keep","ipad","3",6
"141209-03-sc",2,5,"bert_car2","bert_car2","bert_bicycle2","control_double","target","distractor","L","bert_car2","Y","12/9/14","9:12",2212,"3vs1",NA,"keep","ipad","3",6
"141209-03-sc",2,6,"bert_teddybear2","bert_flower2","bert_teddybear2","control_single","distractor","target","R","bert_teddybear2","Y","12/9/14","9:12",1580,"2vs2",NA,"keep","ipad","3",6
"141209-03-sc",2,7,"grover_ball2","grover_ball2","grover_truck2","inference","target","distractor","L","grover_ball2","Y","12/9/14","9:12",2231,"2vs1",NA,"keep","ipad","3",6
"141209-03-sc",2,8,"elmo_cat2","elmo_dog2","elmo_cat2","control_single","distractor","target","R","elmo_cat2","Y","12/9/14","9:12",2306,"2vs2",NA,"keep","ipad","3",6
"141209-03-sc",2,9,"grover_car2","grover_car2","grover_bicycle2","control_single","target","distractor","L","grover_car2","Y","12/9/14","9:12",1812,"2vs2",NA,"keep","ipad","3",6
"141209-03-sc",2,10,"grover_carrot2","grover_banana2","grover_carrot2","control_double","distractor","target","R","grover_carrot2","Y","12/9/14","9:12",1323,"2vs1",NA,"keep","ipad","3",6
"141209-03-sc",2,11,"ernie_apple2","ernie_apple2","ernie_orange2","control_double","target","distractor","L","ernie_apple2","Y","12/9/14","9:12",1868,"3vs1",NA,"keep","ipad","3",6
"141209-03-sc",2,12,"bert_banana2","bert_banana2","bert_carrot2","control_single","target","distractor","L","bert_banana2","Y","12/9/14","9:12",1383,"1vs1",NA,"keep","ipad","3",6
"141209-03-sc",2,13,"bert_truck2","bert_ball2","bert_truck2","control_single","distractor","target","R","bert_truck2","Y","12/9/14","9:12",2294,"1vs1",NA,"keep","ipad","3",6
